"","x"
"162",6.51503307751617
"163",6.3
"164",6.06498832939235
"165",6.01818788377557
"166",6.4
"167",7.29448804868544
"168",8.1603635355297
"169",8.3
"170",7.30150392031031
"171",5.8959135296612
"172",5.1
"173",5.58838515896227
"174",6.66709345693665
"175",7.3
"176",6.79310359198873
"177",5.82089782777736
"178",5.4
"179",6.19845973234211
"180",7.49005597269467
"181",8.2
"182",7.56490933049465
"183",6.06702642959208
"184",4.5
"185",3.50486590864229
"186",3.11220867930741
"187",3.2
"188",3.62673814604733
"189",4.17302774206719
"190",4.6
"191",4.74373706272393
"192",4.74012479686825
"193",4.8
"194",5.0575728623162
"195",5.34054714453387
"196",5.4
"197",5.0778233398631
"198",4.57916810647775
"199",4.2
"200",4.10520785230548
"201",3.93537302214779
"202",3.2
"203",1.66060451017425
"204",0.086747212338576
"205",-0.5
"206",0.556077810701283
"207",2.44726775812763
"208",4
"209",4.259528691465
"210",3.14640397737299
"211",0.8
"212",-2.47197035433899
"213",-5.6884392231749
"214",-7.7
"215",-7.70868431114587
"216",-6.32227671430269
"217",-4.5
"218",-3.02292203070718
"219",-1.95949095665154
"220",-1.2
"221",-0.603331269729208
"222",0.0972775779457087
"223",1.2
"224",2.82883970221653
"225",4.41112138560929
"226",5.2
"227",4.73982431271486
"228",3.73971836109848
"229",3.2
"230",3.80445563951665
"231",4.97074591073758
"232",5.8
"233",5.66457535144073
"234",5.02174244039557
"235",4.6
"236",4.85946517694266
"237",5.18672877212462
"238",4.7
"239",2.91237875560344
"240",0.916527656291206
"241",0.199999999999999
"242",1.70953831916218
"243",4.22864208419216
"244",6
"245",5.78650500478479
"246",4.43186696990295
"247",3.3
"248",3.39629351355051
"249",4.29203818434427
"250",5.2
"251",5.50980242249461
"252",5.31849881123843
"253",4.9
"254",4.48301531498955
"255",4.11544805218353
"256",3.8
"257",3.52109928051019
"258",3.19007935039788
"259",2.7
"260",2.03629126667344
"261",1.55386417585464
"262",1.7
"263",2.70040231946276
"264",3.89446394618358
"265",4.4
"266",3.65469204806808
"267",2.37568744681838
"268",1.6
"269",2.08453319196865
"270",3.46574922950592
"271",5.1
"272",6.38124925813132
"273",6.85390822775037
"274",6.1
"275",4.00898829402456
"276",1.70009934097408
"277",0.6
"278",1.67168645465943
"279",4.02347218613124
"280",6.3
"281",7.42648810955988
"282",7.45045635894518
"283",6.7
"284",5.4927314774714
"285",4.10433200771769
"286",2.8
"287",1.84703042499905
"288",1.52110449907311
